Date,High,Low,Open,Close,Volume,Adj Close,moving_average,symbol,name,description
2018-11-14,66.08999633789062,62.5,65.25,62.849998474121094,119400,62.849998474121094,65.49551694146518,ESTC,Elastic NV,"Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. Elasticsearch is developed in Java."
2018-11-15,66.66000366210938,62.5099983215332,62.5099983215332,66.29000091552734,105000,66.29000091552734,65.52199974060059,ESTC,Elastic NV,"Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. Elasticsearch is developed in Java."
2018-11-16,71.2300033569336,65.37000274658203,65.37000274658203,70.75,201600,70.75,65.69064491025863,ESTC,Elastic NV,"Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. Elasticsearch is developed in Java."
2018-11-19,71.86000061035156,66.91000366210938,70.0,67.0,481800,67.0,65.73156225681305,ESTC,Elastic NV,"Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. Elasticsearch is developed in Java."
2018-11-20,65.94999694824219,62.5,65.51000213623047,63.29999923706055,348100,63.29999923706055,65.65787852894177,ESTC,Elastic NV,"Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. Elasticsearch is developed in Java."
2018-11-21,66.27999877929688,63.349998474121094,64.37000274658203,63.900001525878906,133800,63.900001525878906,65.6061762641458,ESTC,Elastic NV,"Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. Elasticsearch is developed in Java."
2018-11-23,67.13999938964844,63.34000015258789,63.79999923706055,66.06999969482422,45600,66.06999969482422,65.61942836216518,ESTC,Elastic NV,"Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. Elasticsearch is developed in Java."
2018-11-26,68.66000366210938,65.41000366210938,67.25,68.06999969482422,84400,68.06999969482422,65.68749978807237,ESTC,Elastic NV,"Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. Elasticsearch is developed in Java."
2018-11-27,68.44000244140625,66.36000061035156,67.7300033569336,68.16999816894531,102500,68.16999816894531,65.75459433890678,ESTC,Elastic NV,"Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. Elasticsearch is developed in Java."
2018-11-28,71.0,67.56999969482422,68.33000183105469,70.61000061035156,182000,70.61000061035156,65.88236818815533,ESTC,Elastic NV,"Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. Elasticsearch is developed in Java."
2018-11-29,70.66999816894531,68.9000015258789,70.66999816894531,69.5,108200,69.5,65.97512797820262,ESTC,Elastic NV,"Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. Elasticsearch is developed in Java."
2018-11-30,71.79000091552734,68.9000015258789,69.5,71.44999694824219,137700,71.44999694824219,66.11199970245362,ESTC,Elastic NV,"Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. Elasticsearch is developed in Java."
2018-12-03,83.16000366210938,73.51000213623047,74.08999633789062,82.0,1273400,82.0,66.49951190483279,ESTC,Elastic NV,"Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. Elasticsearch is developed in Java."
2018-12-04,83.83999633789062,72.51000213623047,81.5999984741211,72.5199966430664,1080500,72.5199966430664,66.64285677955264,ESTC,Elastic NV,"Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. Elasticsearch is developed in Java."
2018-12-06,78.5,72.01000213623047,73.5199966430664,75.33999633789062,782400,75.33999633789062,66.84511583904887,ESTC,Elastic NV,"Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. Elasticsearch is developed in Java."
2018-12-07,77.72000122070312,67.51000213623047,76.48999786376953,69.12000274658203,418700,69.12000274658203,66.89681781422009,ESTC,Elastic NV,"Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. Elasticsearch is developed in Java."
